idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1579,78.95,-14.999988837067335,7.000000000000014,-6.000000000000012,-0.0009104173376073277,0.0,0.0,-0.010153012058999877,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1580,79.0,-15.000048449692343,7.000000000000014,-6.000000000000012,-0.0013728870493423528,0.0,0.0,-0.005903464690071303,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1581,79.05000000000001,-15.000126125772269,7.000000000000014,-6.000000000000012,-0.001500763806614458,0.0,0.0,0.003262664665015791,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1582,79.10000000000001,-15.000198526073005,7.000000000000014,-6.000000000000012,-0.0010466205828407737,0.0,0.0,0.016931944403353327,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1583,79.15,-15.000230787830553,7.000000000000014,-6.000000000000012,0.00019243063372087477,0.0,0.0,0.03400428258970578,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1584,79.2,-15.000179283009633,7.000000000000014,-6.000000000000012,0.0023538076761298043,0.0,0.0,0.05301362262279952,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1585,79.25,-14.99999540706294,7.000000000000014,-6.000000000000012,0.005493792896000826,0.0,0.0,0.07249377414808578,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1586,79.30000000000001,-14.999629903720033,7.000000000000014,-6.000000000000012,0.009603185090938382,0.0,0.0,0.09144599348118732,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1587,79.35000000000001,-14.999035088553846,7.000000000000014,-6.000000000000012,0.014638392244119558,0.0,0.0,0.10908929965829373,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1588,79.4,-14.99816606449562,7.000000000000014,-6.000000000000012,0.020512115056767755,0.0,0.0,0.12440514668679015,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1589,79.45,-14.99698387704817,7.000000000000014,-6.000000000000012,0.027078906912798573,0.0,0.0,0.13640006002972882,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1590,79.5,-14.99545817380434,7.000000000000014,-6.000000000000012,0.03415212105974064,0.0,0.0,0.14446039606994532,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1591,79.55000000000001,-14.993568664942195,7.000000000000014,-6.000000000000012,0.041524946519793104,0.0,0.0,0.14843028448705553,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1592,79.60000000000001,-14.991305679152362,7.000000000000014,-6.000000000000012,0.04899514950844619,0.0,0.0,0.14870246535494402,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1593,79.65,-14.98866914999135,7.000000000000014,-6.000000000000012,0.05639519305528751,0.0,0.0,0.14622128450980654,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1594,79.7,-14.985666159846833,7.000000000000014,-6.000000000000012,0.06361727795942684,0.0,0.0,0.1423852980977358,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1595,79.75,-14.982307422195408,7.000000000000014,-6.000000000000012,0.07063372286506109,0.0,0.0,0.1388103758371173,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1596,79.80000000000001,-14.978602787560327,7.000000000000014,-6.000000000000012,0.07749831554313857,0.0,0.0,0.13647202940951786,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1597,79.85000000000001,-14.974557590641094,7.000000000000014,-6.000000000000012,0.08428092580601287,0.0,0.0,0.1352269927677341,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1598,79.9,-14.970174694979725,7.000000000000014,-6.000000000000012,0.09102101481991198,0.0,0.0,0.13462132366548474,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1599,79.95,-14.965455489159103,7.000000000000014,-6.000000000000012,0.09774305817256135,0.0,0.0,0.13438434198675964,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1600,80.0,-14.96040038916247,7.000000000000014,-6.000000000000012,0.10445944901858795,0.0,0.0,0.13426733135055713,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1601,80.05000000000001,-14.955009544257244,7.000000000000014,-6.000000000000012,0.11116979130761706,0.0,0.0,0.13410975638112888,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1602,80.10000000000001,-14.949283410031708,7.000000000000014,-6.000000000000012,0.11787042465670083,0.0,0.0,0.13390322324866588,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1603,80.15,-14.943222501791574,7.000000000000014,-6.000000000000012,0.12456011363248365,0.0,0.0,0.13366060031749782,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1604,80.2,-14.93682739866846,7.000000000000014,-6.000000000000012,0.13123648468845062,0.0,0.0,0.13335024770775306,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1605,80.25,-14.930098853322729,7.000000000000014,-6.000000000000012,0.13789513840325895,0.0,0.0,0.13293633605542254,0.0,0.0,0.0,70.0,255.0,255.0,255.0
